produit,page,lien_page,pays,ad_id,snapshot,date_debut
busy-board-montessori,Nuveofly / Minoxia,https://www.facebook.com/857201634626127,FR,1815943356235371,https://www.facebook.com/ads/library/?id=1815943356235371,2026-06-30
busy-board-montessori,Nuveofly / Minoxia,https://www.facebook.com/857201634626127,FR,4045083619125079,https://www.facebook.com/ads/library/?id=4045083619125079,2026-06-29
busy-board-montessori,Nuveofly / Minoxia,https://www.facebook.com/857201634626127,FR,27892922026967614,https://www.facebook.com/ads/library/?id=27892922026967614,2026-06-30
busy-board-montessori,Nuveofly / Minoxia,https://www.facebook.com/857201634626127,FR,1523826616188454,https://www.facebook.com/ads/library/?id=1523826616188454,2026-06-30
busy-board-montessori,"LUDI, marque francaise de jouets et de puericulture",https://www.facebook.com/109325167170236,FR,1374010444791628,https://www.facebook.com/ads/library/?id=1374010444791628,2026-07-10
busy-board-montessori,"LUDI, marque francaise de jouets et de puericulture",https://www.facebook.com/109325167170236,FR,1718417535867915,https://www.facebook.com/ads/library/?id=1718417535867915,2026-06-29
busy-board-montessori,"LUDI, marque francaise de jouets et de puericulture",https://www.facebook.com/109325167170236,FR,1431662782328667,https://www.facebook.com/ads/library/?id=1431662782328667,2026-06-17
busy-board-montessori,"LUDI, marque francaise de jouets et de puericulture",https://www.facebook.com/109325167170236,FR,4293234060989871,https://www.facebook.com/ads/library/?id=4293234060989871,2026-06-09
busy-board-montessori,Leyadoll,https://www.facebook.com/102663781201560,"CA,US",834208129645987,https://www.facebook.com/ads/library/?id=834208129645987,2026-07-11
busy-board-montessori,Leyadoll,https://www.facebook.com/102663781201560,"CA,US",1532792568582637,https://www.facebook.com/ads/library/?id=1532792568582637,2026-07-11
busy-board-montessori,La Cabane Familiale - Nayliss,https://www.facebook.com/106995240998407,FR,1622860009270120,https://www.facebook.com/ads/library/?id=1622860009270120,2026-07-11
busy-board-montessori,Montessori Playhouse,https://www.facebook.com/1175186729005867,FR,2102067013691689,https://www.facebook.com/ads/library/?id=2102067013691689,2026-06-06
veilleuse-bebe,Lenny et Alba,https://www.facebook.com/104438755558999,"FR,US,DE,ES,IT",846056151634245,https://www.facebook.com/ads/library/?id=846056151634245,2026-06-26
veilleuse-bebe,Lenny et Alba,https://www.facebook.com/104438755558999,"FR,US,DE,ES,IT",1649494372800805,https://www.facebook.com/ads/library/?id=1649494372800805,2026-06-26
veilleuse-bebe,Lenny et Alba,https://www.facebook.com/104438755558999,"FR,US,DE,ES,IT",892135696581365,https://www.facebook.com/ads/library/?id=892135696581365,2026-06-26
veilleuse-bebe,Lenny et Alba,https://www.facebook.com/104438755558999,"FR,US,DE,ES,IT",2012149706049831,https://www.facebook.com/ads/library/?id=2012149706049831,2026-06-26
veilleuse-bebe,Lenny et Alba,https://www.facebook.com/104438755558999,"FR,US,DE,ES,IT",1724497622083459,https://www.facebook.com/ads/library/?id=1724497622083459,2026-06-26
veilleuse-bebe,Lenny et Alba,https://www.facebook.com/104438755558999,"FR,US,DE,ES,IT",2091186628481974,https://www.facebook.com/ads/library/?id=2091186628481974,2026-06-26
veilleuse-bebe,Lenny et Alba,https://www.facebook.com/104438755558999,"FR,US,DE,ES,IT",1035834855632641,https://www.facebook.com/ads/library/?id=1035834855632641,2026-06-26
veilleuse-bebe,Lenny et Alba,https://www.facebook.com/104438755558999,"FR,US,DE,ES,IT",1013957694549815,https://www.facebook.com/ads/library/?id=1013957694549815,2026-06-26
veilleuse-bebe,Lenny et Alba,https://www.facebook.com/104438755558999,"FR,US,DE,ES,IT",1618180163037893,https://www.facebook.com/ads/library/?id=1618180163037893,2026-06-26
veilleuse-bebe,Lenny et Alba,https://www.facebook.com/104438755558999,"FR,US,DE,ES,IT",2705663276496891,https://www.facebook.com/ads/library/?id=2705663276496891,2026-06-26
veilleuse-bebe,Ma Peluche,https://www.facebook.com/103862992499321,FR,1777694786727816,https://www.facebook.com/ads/library/?id=1777694786727816,2026-06-29
veilleuse-bebe,Ma Peluche,https://www.facebook.com/103862992499321,FR,1740856497091672,https://www.facebook.com/ads/library/?id=1740856497091672,2026-06-29
veilleuse-bebe,Ma Peluche,https://www.facebook.com/103862992499321,FR,1325064529197746,https://www.facebook.com/ads/library/?id=1325064529197746,2026-06-29
veilleuse-bebe,Ma Peluche,https://www.facebook.com/103862992499321,FR,1549231550114109,https://www.facebook.com/ads/library/?id=1549231550114109,2026-06-29
veilleuse-bebe,Ma Peluche,https://www.facebook.com/103862992499321,FR,991083457102913,https://www.facebook.com/ads/library/?id=991083457102913,2026-06-29
veilleuse-bebe,Ma Peluche,https://www.facebook.com/103862992499321,FR,27234278419566610,https://www.facebook.com/ads/library/?id=27234278419566610,2026-06-30
veilleuse-bebe,Ma Peluche,https://www.facebook.com/103862992499321,FR,974192325622128,https://www.facebook.com/ads/library/?id=974192325622128,2026-07-01
veilleuse-bebe,Ma Peluche,https://www.facebook.com/103862992499321,FR,2603108900087340,https://www.facebook.com/ads/library/?id=2603108900087340,2026-07-01
veilleuse-bebe,Ma Peluche,https://www.facebook.com/103862992499321,FR,2521228034987830,https://www.facebook.com/ads/library/?id=2521228034987830,2026-06-29
veilleuse-bebe,Ma Peluche,https://www.facebook.com/103862992499321,FR,1002681919136547,https://www.facebook.com/ads/library/?id=1002681919136547,2026-07-01
veilleuse-bebe,Madouceveilleuse,https://www.facebook.com/630165426844101,FR,1599599045124337,https://www.facebook.com/ads/library/?id=1599599045124337,2026-07-11
veilleuse-bebe,Madouceveilleuse,https://www.facebook.com/630165426844101,FR,1230724332356748,https://www.facebook.com/ads/library/?id=1230724332356748,2026-05-04
veilleuse-bebe,Boutique Veille sur toi,https://www.facebook.com/1562138070728495,CA,1378797886557042,https://www.facebook.com/ads/library/?id=1378797886557042,2025-07-30
mouche-bebe-electrique,Grownsy,https://www.facebook.com/106142692500549,US,1003825369296383,https://www.facebook.com/ads/library/?id=1003825369296383,2026-07-11
mouche-bebe-electrique,Grownsy,https://www.facebook.com/106142692500549,US,1530963738514769,https://www.facebook.com/ads/library/?id=1530963738514769,2026-07-11
mouche-bebe-electrique,Grownsy,https://www.facebook.com/106142692500549,US,2284328978976302,https://www.facebook.com/ads/library/?id=2284328978976302,2026-07-10
mouche-bebe-electrique,Grownsy,https://www.facebook.com/106142692500549,US,1358836012846410,https://www.facebook.com/ads/library/?id=1358836012846410,2026-07-10
mouche-bebe-electrique,Grownsy,https://www.facebook.com/106142692500549,US,4471009586550425,https://www.facebook.com/ads/library/?id=4471009586550425,2026-07-10
mouche-bebe-electrique,Grownsy,https://www.facebook.com/106142692500549,US,2645246999320072,https://www.facebook.com/ads/library/?id=2645246999320072,2026-07-10
mouche-bebe-electrique,Grownsy,https://www.facebook.com/106142692500549,US,27046161821722745,https://www.facebook.com/ads/library/?id=27046161821722745,2026-07-10
mouche-bebe-electrique,Grownsy,https://www.facebook.com/106142692500549,US,2082498125997533,https://www.facebook.com/ads/library/?id=2082498125997533,2026-07-09
mouche-bebe-electrique,Grownsy,https://www.facebook.com/106142692500549,US,1565314708324680,https://www.facebook.com/ads/library/?id=1565314708324680,2026-07-08
mouche-bebe-electrique,Grownsy,https://www.facebook.com/106142692500549,US,1400755908779086,https://www.facebook.com/ads/library/?id=1400755908779086,2026-07-08
mouche-bebe-electrique,Dr. Noze Best,https://www.facebook.com/113664780046165,"US,CA",24785261631171902,https://www.facebook.com/ads/library/?id=24785261631171902,2026-04-14
mouche-bebe-electrique,Dr. Noze Best,https://www.facebook.com/113664780046165,"US,CA",3098750770325145,https://www.facebook.com/ads/library/?id=3098750770325145,2026-04-14
mouche-bebe-electrique,Dr. Noze Best,https://www.facebook.com/113664780046165,"US,CA",26598811266471950,https://www.facebook.com/ads/library/?id=26598811266471950,2026-04-06
mouche-bebe-electrique,Dr. Noze Best,https://www.facebook.com/113664780046165,"US,CA",2103024987211497,https://www.facebook.com/ads/library/?id=2103024987211497,2026-04-13
mouche-bebe-electrique,Dr. Noze Best,https://www.facebook.com/113664780046165,"US,CA",924650583520120,https://www.facebook.com/ads/library/?id=924650583520120,2026-04-11
mouche-bebe-electrique,Dr. Noze Best,https://www.facebook.com/113664780046165,"US,CA",2178208079380281,https://www.facebook.com/ads/library/?id=2178208079380281,2026-04-09
mouche-bebe-electrique,Dr. Noze Best,https://www.facebook.com/113664780046165,"US,CA",1603355164324019,https://www.facebook.com/ads/library/?id=1603355164324019,2026-02-11
mouche-bebe-electrique,Dr. Noze Best,https://www.facebook.com/113664780046165,"US,CA",1471490097878809,https://www.facebook.com/ads/library/?id=1471490097878809,2026-02-26
mouche-bebe-electrique,Dr. Noze Best,https://www.facebook.com/113664780046165,"US,CA",2011143269457761,https://www.facebook.com/ads/library/?id=2011143269457761,2025-12-17
mouche-bebe-electrique,Dr. Noze Best,https://www.facebook.com/113664780046165,"US,CA",1687154846003547,https://www.facebook.com/ads/library/?id=1687154846003547,2025-12-17
mouche-bebe-electrique,Nubio,https://www.facebook.com/917266301460335,FR,2050334398924240,https://www.facebook.com/ads/library/?id=2050334398924240,2026-07-09
mouche-bebe-electrique,Nubio,https://www.facebook.com/917266301460335,FR,1645369299858978,https://www.facebook.com/ads/library/?id=1645369299858978,2026-07-09
mouche-bebe-electrique,Nubio,https://www.facebook.com/917266301460335,FR,2002347224501403,https://www.facebook.com/ads/library/?id=2002347224501403,2026-07-09
mouche-bebe-electrique,Nubio,https://www.facebook.com/917266301460335,FR,1005623212227193,https://www.facebook.com/ads/library/?id=1005623212227193,2026-07-10
